"Player","Span","Mat","Inns","NO","Runs","HS","Ave","100","50","0","InningsURL"
"J Briggs (ENG)","1884-1899",33,50,5,815,"121",18.11,1,2,10,"https://stats.espncricinfo.com/ci/engine/player/9223.html?class=1;template=results;type=batting;view=innings"
"SM Curran (ENG)","2018-2021",24,38,5,815,"78",24.69,0,3,7,"https://stats.espncricinfo.com/ci/engine/player/662973.html?class=1;template=results;type=batting;view=innings"
"AR MacGibbon (NZ)","1951-1958",26,46,5,814,"66",19.85,0,3,7,"https://stats.espncricinfo.com/ci/engine/player/37694.html?class=1;template=results;type=batting;view=innings"
"TR Veivers (AUS)","1963-1967",21,30,4,813,"88",31.26,0,7,3,"https://stats.espncricinfo.com/ci/engine/player/8103.html?class=1;template=results;type=batting;view=innings"
"BR Knight (ENG)","1961-1969",29,38,7,812,"127",26.19,2,0,2,"https://stats.espncricinfo.com/ci/engine/player/15910.html?class=1;template=results;type=batting;view=innings"
"NWD Yardley (ENG)","1938-1950",20,34,2,812,"99",25.37,0,4,2,"https://stats.espncricinfo.com/ci/engine/player/23521.html?class=1;template=results;type=batting;view=innings"
"SS Iyer (IND)","2021-2024",14,24,2,811,"105",36.86,1,5,2,"https://stats.espncricinfo.com/ci/engine/player/642519.html?class=1;template=results;type=batting;view=innings"
"MA Wood (ENG)","2015-2025",38,64,12,811,"52",15.59,0,1,11,"https://stats.espncricinfo.com/ci/engine/player/351588.html?class=1;template=results;type=batting;view=innings"
"AJ Watkins (ENG)","1948-1952",15,24,4,810,"137*",40.5,2,4,2,"https://stats.espncricinfo.com/ci/engine/player/22329.html?class=1;template=results;type=batting;view=innings"
"TR Gripper (ZIM)","1999-2004",20,38,1,809,"112",21.86,1,5,5,"https://stats.espncricinfo.com/ci/engine/player/55463.html?class=1;template=results;type=batting;view=innings"
"JEC Franklin (NZ)","2001-2013",31,46,7,808,"122*",20.71,1,2,6,"https://stats.espncricinfo.com/ci/engine/player/37004.html?class=1;template=results;type=batting;view=innings"
"FA Iredale (AUS)","1894-1899",14,23,1,807,"140",36.68,2,4,2,"https://stats.espncricinfo.com/ci/engine/player/5976.html?class=1;template=results;type=batting;view=innings"
"JR Ratnayeke (SL)","1982-1989",22,38,6,807,"93",25.21,0,5,5,"https://stats.espncricinfo.com/ci/engine/player/50250.html?class=1;template=results;type=batting;view=innings"
"JW Hearne (ENG)","1911-1926",24,36,5,806,"114",26,1,2,3,"https://stats.espncricinfo.com/ci/engine/player/14135.html?class=1;template=results;type=batting;view=innings"
"NE Bonner (WI)","2021-2022",15,25,4,803,"123",38.23,2,3,4,"https://stats.espncricinfo.com/ci/engine/player/314650.html?class=1;template=results;type=batting;view=innings"
"Wazir Mohammad (PAK)","1952-1959",20,33,4,801,"189",27.62,2,3,8,"https://stats.espncricinfo.com/ci/engine/player/43557.html?class=1;template=results;type=batting;view=innings"
"JM Blackham (AUS)","1877-1894",35,62,11,800,"74",15.68,0,4,6,"https://stats.espncricinfo.com/ci/engine/player/4153.html?class=1;template=results;type=batting;view=innings"
"Mashrafe Mortaza (BAN)","2001-2009",36,67,5,797,"79",12.85,0,3,12,"https://stats.espncricinfo.com/ci/engine/player/56007.html?class=1;template=results;type=batting;view=innings"
"GH Hirst (ENG)","1897-1909",24,38,3,790,"85",22.57,0,5,5,"https://stats.espncricinfo.com/ci/engine/player/14220.html?class=1;template=results;type=batting;view=innings"
"GB Hole (AUS)","1951-1955",18,33,2,789,"66",25.45,0,6,2,"https://stats.espncricinfo.com/ci/engine/player/5690.html?class=1;template=results;type=batting;view=innings"
"PJ Sharpe (ENG)","1963-1969",12,21,4,786,"111",46.23,1,4,1,"https://stats.espncricinfo.com/ci/engine/player/20126.html?class=1;template=results;type=batting;view=innings"
"MG Bevan (AUS)","1994-1998",18,30,3,785,"91",29.07,0,6,4,"https://stats.espncricinfo.com/ci/engine/player/4144.html?class=1;template=results;type=batting;view=innings"
"PR Downton (ENG)","1981-1988",30,48,8,785,"74",19.62,0,4,4,"https://stats.espncricinfo.com/ci/engine/player/11931.html?class=1;template=results;type=batting;view=innings"
"I Sharma (IND)","2007-2021",105,142,47,785,"57",8.26,0,1,34,"https://stats.espncricinfo.com/ci/engine/player/236779.html?class=1;template=results;type=batting;view=innings"
"CF Walters (ENG)","1933-1934",11,18,3,784,"102",52.26,1,7,0,"https://stats.espncricinfo.com/ci/engine/player/22283.html?class=1;template=results;type=batting;view=innings"
"W Mathias (PAK)","1955-1962",21,36,3,783,"77",23.72,0,3,3,"https://stats.espncricinfo.com/ci/engine/player/41278.html?class=1;template=results;type=batting;view=innings"
"Mohammad Wasim (PAK)","1996-2000",18,28,2,783,"192",30.11,2,2,3,"https://stats.espncricinfo.com/ci/engine/player/41297.html?class=1;template=results;type=batting;view=innings"
"SFAF Bacchus (WI)","1978-1982",19,30,0,782,"250",26.06,1,3,7,"https://stats.espncricinfo.com/ci/engine/player/51208.html?class=1;template=results;type=batting;view=innings"
"A Athanaze (WI)","2023-2025",17,33,0,781,"92",23.66,0,4,2,"https://stats.espncricinfo.com/ci/engine/player/1078692.html?class=1;template=results;type=batting;view=innings"
"KK Jennings (ENG)","2016-2019",17,32,1,781,"146*",25.19,2,1,4,"https://stats.espncricinfo.com/ci/engine/player/440780.html?class=1;template=results;type=batting;view=innings"
"WK Lees (NZ)","1976-1983",21,37,4,778,"152",23.57,1,1,4,"https://stats.espncricinfo.com/ci/engine/player/37605.html?class=1;template=results;type=batting;view=innings"
"CZ Harris (NZ)","1992-2002",23,42,4,777,"71",20.44,0,5,9,"https://stats.espncricinfo.com/ci/engine/player/37232.html?class=1;template=results;type=batting;view=innings"
"NRD Compton (ENG)","2012-2016",16,30,3,775,"117",28.7,2,2,3,"https://stats.espncricinfo.com/ci/engine/player/11718.html?class=1;template=results;type=batting;view=innings"
"RWT Key (ENG)","2002-2005",15,26,1,775,"221",31,1,3,2,"https://stats.espncricinfo.com/ci/engine/player/15876.html?class=1;template=results;type=batting;view=innings"
"GD Phillips (NZ)","2020-2025",17,29,5,775,"87",32.29,0,5,2,"https://stats.espncricinfo.com/ci/engine/player/823509.html?class=1;template=results;type=batting;view=innings"
"JM How (NZ)","2006-2009",19,35,1,772,"92",22.7,0,4,4,"https://stats.espncricinfo.com/ci/engine/player/37265.html?class=1;template=results;type=batting;view=innings"
"JA Snow (ENG)","1965-1976",49,71,14,772,"73",13.54,0,2,17,"https://stats.espncricinfo.com/ci/engine/player/20282.html?class=1;template=results;type=batting;view=innings"
"Hashmatullah Shahidi (AFG)","2018-2025",11,21,5,771,"246",48.18,2,2,0,"https://stats.espncricinfo.com/ci/engine/player/440970.html?class=1;template=results;type=batting;view=innings"
"AS Joseph (WI)","2016-2025",40,65,2,770,"86",12.22,0,2,13,"https://stats.espncricinfo.com/ci/engine/player/670031.html?class=1;template=results;type=batting;view=innings"
"DAJ Holford (WI)","1966-1977",24,39,5,768,"105*",22.58,1,3,3,"https://stats.espncricinfo.com/ci/engine/player/52064.html?class=1;template=results;type=batting;view=innings"
"SK Raina (IND)","2010-2015",18,31,2,768,"120",26.48,1,7,8,"https://stats.espncricinfo.com/ci/engine/player/33335.html?class=1;template=results;type=batting;view=innings"
"A Turner (AUS)","1975-1977",14,27,1,768,"136",29.53,1,3,2,"https://stats.espncricinfo.com/ci/engine/player/7989.html?class=1;template=results;type=batting;view=innings"
"AME Roberts (WI)","1974-1983",47,62,11,762,"68",14.94,0,3,6,"https://stats.espncricinfo.com/ci/engine/player/52817.html?class=1;template=results;type=batting;view=innings"
